0,95.977,0.0994,0.9006,20.162,1.6094,0.0373,63.038,191.6,0.0603,1.6824,113.41,0.866,1.0112,0.9791,0.0027,0.7114,1.3245,0.9874,0.2666,1.0203,0.2297,0,0,0,0,0,3.1074,136.36,241.92,1.4378,2.0126,99.732,249.33,311.66,0.7114,1.3245,0.9874,0.866,1.0112,0.9791,354.67,177.33,350,150,3,140,0,0,0,0,1
0.27778,95.977,0.099561,0.90044,20.162,1.6097,0.035822,63.04,191.59,0.056328,1.671,113.41,0.84622,0.97319,0.94744,0.0013361,0.74114,1.4026,1.0391,0.24818,1.0019,0.24812,0,0,0,0,0,3.18,139.26,242.89,1.5427,3.4761,99.645,249.33,311.66,0.74114,1.4026,1.0391,0.84622,0.97319,0.94744,350.87,177.15,196.85,141.51,2.1482,256.32,0,0,0,0,1
0.55556,95.977,0.10083,0.89917,20.157,1.6176,0.026754,63.28,191.59,0.042191,1.5863,113.41,0.70183,0.6899,0.72083,0.00098751,0.89914,1.9537,1.3621,0.011119,0.76482,0.48518,0,0,0,0,0,4.0339,197.67,270.32,2.0766,16.77,98.626,249.14,311.63,0.89914,1.9537,1.3621,0.70183,0.6899,0.72083,291.81,170.5,107.48,111.83,2.8198,281.09,0,0,0,0,1
0.83333,95.977,0.10101,0.89899,20.155,1.6263,0.026484,63.613,191.59,0.041728,1.4817,113.4,0.68636,0.65986,0.69741,0.00096685,0.90711,1.9888,1.3809,4.2985e-05,0.75374,0.49626,0,0,0,0,0,4.9327,261.35,321.87,2.1023,16.088,98.211,248.59,311.38,0.90711,1.9888,1.3809,0.68636,0.65986,0.69741,231.22,152.59,58.773,80.861,2.6169,267.81,0,0,0,0,1
1.1111,95.977,0.10094,0.89906,20.155,1.6305,0.026761,63.94,191.59,0.042657,1.4042,113.39,0.69511,0.67548,0.7105,0.00098768,0.90385,1.9777,1.3743,1.6618e-07,0.7537,0.4963,0,0,0,0,0,5.6719,303.39,371.14,2.0903,14.082,98.135,248.12,310.96,0.90385,1.9777,1.3743,0.69511,0.67548,0.7105,189,131.65,33.381,55.671,2.3919,247.91,0,0,0,0,1
1.3889,95.977,0.10085,0.89915,20.155,1.6319,0.027028,64.255,191.59,0.043567,1.3485,113.38,0.70475,0.69308,0.72502,0.0010091,0.90039,1.9655,1.3672,6.4243e-10,0.7537,0.4963,0,0,0,0,0,6.24,331.15,410.72,2.0778,12.448,98.121,247.78,310.51,0.90039,1.9655,1.3672,0.70475,0.69308,0.72502,159.4,112.18,20.186,37.373,2.2186,230.19,0,0,0,0,1
1.6667,95.977,0.10079,0.89921,20.155,1.632,0.027239,64.558,191.59,0.04424,1.3089,113.38,0.71204,0.70657,0.73606,0.0010252,0.89797,1.9568,1.3621,2.4836e-12,0.7537,0.4963,0,0,0,0,0,6.6622,349.91,440.37,2.0692,11.188,98.118,247.53,310.1,0.89797,1.9568,1.3621,0.71204,0.70657,0.73606,138.54,95.782,13.062,24.843,2.0998,217.1,0,0,0,0,1
1.9444,95.977,0.10074,0.89926,20.155,1.6317,0.027396,64.854,191.59,0.044687,1.281,113.38,0.71693,0.71568,0.7435,0.001036,0.89662,1.9519,1.3593,9.6013e-15,0.7537,0.4963,0,0,0,0,0,6.9728,363.01,461.95,2.0644,10.245,98.118,247.33,309.75,0.89662,1.9519,1.3593,0.71693,0.71568,0.7435,123.79,82.675,9.0119,16.528,2.0227,208.24,0,0,0,0,1
2.2222,95.977,0.10071,0.89929,20.155,1.6312,0.027515,65.144,191.59,0.044967,1.2613,113.37,0.72001,0.72144,0.74819,0.0010428,0.89606,1.9499,1.3581,3.7118e-17,0.7537,0.4963,0,0,0,0,0,7.2029,372.53,477.59,2.0624,9.5524,98.118,247.17,309.45,0.89606,1.9499,1.3581,0.72001,0.72144,0.74819,113.35,72.54,6.6068,11.103,1.9742,202.53,0,0,0,0,1
2.5,95.977,0.1007,0.8993,20.155,1.6308,0.027607,65.429,191.59,0.045132,1.2475,113.37,0.72185,0.72489,0.751,0.0010468,0.89605,1.9498,1.3581,1.435e-19,0.7537,0.4963,0,0,0,0,0,7.3764,379.72,489.05,2.0624,9.0509,98.118,247.05,309.21,0.89605,1.9498,1.3581,0.72185,0.72489,0.751,105.94,64.87,5.1352,7.5945,1.9443,198.94,0,0,0,0,1
